ticker,pe_ratio,pb_ratio,roe,earnings_growth_yoy,revenue_growth_yoy,debt_to_equity,dividend_yield,market_cap_hkd_bn
0005.HK,41.32,4.06,0.2802,-0.2717,0.3656,1.6969,0.0357,238.25
0011.HK,59.47,0.35,0.2579,0.3721,0.0642,1.4824,0.1115,1980.29
0388.HK,58.52,4.34,-0.0126,0.432,-0.0518,1.663,0.0351,4081.63
0939.HK,50.2,2.01,0.2079,-0.2143,0.0882,0.2906,0.0173,1064.92
1398.HK,30.17,0.9,0.044,-0.2941,0.4291,1.6567,0.0201,4644.75
3988.HK,33.9,0.62,0.16,0.2761,0.3605,2.5048,0.0303,4841.53
0700.HK,29.58,2.33,0.1698,0.0396,-0.0574,2.7464,0.1127,4188.28
9988.HK,27.67,5.81,0.2905,-0.2289,0.087,1.9247,0.1172,3527.92
0941.HK,39.29,1.88,0.0672,-0.156,0.0128,2.1555,0.115,83.83
0762.HK,20.82,0.68,0.2999,0.3244,0.3786,2.755,0.0184,2352.79
2318.HK,34.14,4.28,0.2382,0.4403,-0.0353,0.3166,0.0737,1222.06
2628.HK,50.14,3.88,0.2264,0.0193,-0.1276,0.8966,0.0196,1167.96
0883.HK,34.03,3.03,0.2479,0.2833,0.339,2.371,0.0632,1285.18
0857.HK,59.74,1.12,0.116,-0.1608,0.155,2.4206,0.057,2173.54
0386.HK,21.91,0.89,0.2397,0.3762,0.2305,2.7065,0.016,1007.29
1088.HK,51.35,5.39,0.1566,0.3953,0.3435,1.6646,0.0827,1249.44
0001.HK,43.09,3.38,0.1972,0.2407,0.2275,2.1093,0.0092,1063.23
0002.HK,20.01,7.74,0.213,-0.1433,0.2772,2.5232,0.108,1043.81
0003.HK,57.01,2.08,0.0115,0.2677,-0.1744,2.3877,0.0171,437.02
0006.HK,49.68,7.72,0.2544,0.4375,0.4558,1.2415,0.0383,3537.88
0012.HK,38.79,5.57,0.2353,0.3435,-0.0446,0.2496,0.06,4700.81
0016.HK,44.86,1.57,-0.0234,0.2248,0.2083,2.0231,0.0291,2248.37
0017.HK,42.84,1.52,0.0249,0.0949,-0.0247,2.7585,0.0228,2001.55
0083.HK,49.6,0.6,0.2172,-0.2874,0.4497,0.3426,0.0182,3045.08
0101.HK,51.29,3.66,0.1362,0.4527,0.1568,1.382,0.0352,1815.3
0688.HK,21.69,4.68,0.2628,0.3498,0.2751,2.7856,0.1041,4624.27
1997.HK,5.4,3.33,0.1834,0.1157,0.2755,2.9622,0.0184,1669.31
0027.HK,57.33,3.59,0.1168,0.4841,-0.1708,0.3586,0.0152,4947.6
1928.HK,8.1,3.4,0.3065,0.0458,-0.1833,1.2582,0.0101,2957.27
0291.HK,29.65,3.04,0.2897,0.5193,0.1468,1.3426,0.1101,4393.18
0322.HK,51.26,5.26,0.1627,0.5684,0.0046,0.9182,0.0122,2019.17
0992.HK,32.55,1.1,0.0838,0.0802,0.4926,2.9313,0.0139,2061.14
0066.HK,47.78,5.03,0.2322,0.4721,0.0493,2.1009,0.0768,333.36
0004.HK,40.89,0.69,0.0419,-0.2007,-0.0377,2.8523,0.1033,1467.72
0019.HK,57.35,1.23,0.0222,0.1092,-0.1617,1.2327,0.0684,3894.48
