ticker,name,sector
0005.HK,HSBC Holdings,Financials
0011.HK,Hang Seng Bank,Financials
0388.HK,Hong Kong Exchanges and Clearing,Financials
0939.HK,China Construction Bank,Financials
1398.HK,Industrial and Commercial Bank of China,Financials
3988.HK,Bank of China,Financials
0700.HK,Tencent Holdings,Information Technology
9988.HK,Alibaba Group,Consumer Discretionary
0941.HK,China Mobile,Telecommunications
0762.HK,China Unicom,Telecommunications
2318.HK,Ping An Insurance,Financials
2628.HK,China Life Insurance,Financials
0883.HK,CNOOC,Energy
0857.HK,PetroChina,Energy
0386.HK,Sinopec,Energy
1088.HK,China Shenhua Energy,Energy
0001.HK,CK Hutchison Holdings,Industrials
0002.HK,CLP Holdings,Utilities
0003.HK,Hong Kong and China Gas,Utilities
0006.HK,Power Assets Holdings,Utilities
0012.HK,Henderson Land Development,Real Estate
0016.HK,Sun Hung Kai Properties,Real Estate
0017.HK,New World Development,Real Estate
0083.HK,Sino Land,Real Estate
0101.HK,Hang Lung Properties,Real Estate
0688.HK,China Overseas Land & Investment,Real Estate
1997.HK,Wharf Real Estate Investment,Real Estate
0027.HK,Galaxy Entertainment Group,Consumer Discretionary
1928.HK,Sands China,Consumer Discretionary
0291.HK,China Resources Beer,Consumer Staples
0322.HK,Tingyi,Consumer Staples
0992.HK,Lenovo Group,Information Technology
0066.HK,MTR Corporation,Industrials
0004.HK,Wharf Holdings,Real Estate
0019.HK,Swire Pacific,Industrials
