date,ticker,open,high,low,close,volume
2023-04-14,0005.HK,187.68,189.62,183.03,187.26,36241295
2023-04-17,0005.HK,189.16,188.27,183.2,188.19,5554261
2023-04-18,0005.HK,187.28,193.87,187.34,189.02,47943209
2023-04-19,0005.HK,190.38,194.75,188.89,191.92,18146985
2023-04-20,0005.HK,190.04,192.56,188.09,190.29,63874271
2023-04-21,0005.HK,187.11,190.95,186.71,188.83,50810489
2023-04-24,0005.HK,188.58,190.95,182.54,187.25,7986305
2023-04-25,0005.HK,185.21,184.83,182.39,184.69,94082793
2023-04-26,0005.HK,177.76,179.55,175.59,177.49,46367036
2023-04-27,0005.HK,180.22,185.14,176.74,180.05,96157865
2023-04-28,0005.HK,183.77,183.36,177.2,182.29,10977022
2023-05-01,0005.HK,176.45,178.67,176.47,178.16,8047676
2023-05-02,0005.HK,176.41,181.54,171.87,177.06,81632379
2023-05-03,0005.HK,174.35,175.74,173.53,175.12,63265341
2023-05-04,0005.HK,174.61,177.13,172.28,173.31,28921422
2023-05-05,0005.HK,166.7,171.56,166.81,167.78,99060009
2023-05-08,0005.HK,165.94,168.08,165.11,166.23,34739550
2023-05-09,0005.HK,169.2,172.07,164.88,167.75,75336235
2023-05-10,0005.HK,175.11,174.76,173.72,174.23,51019984
2023-05-11,0005.HK,176.44,176.97,174.74,175.29,39530966
2023-05-12,0005.HK,173.93,180.42,170.86,175.65,32612050
2023-05-15,0005.HK,175.89,179.3,172.09,174.32,63551884
2023-05-16,0005.HK,172.61,174.31,169.31,172.79,67579327
2023-05-17,0005.HK,176.16,179.44,174.17,175.28,10029404
2023-05-18,0005.HK,176.06,176.38,173.7,176.08,44711519
2023-05-19,0005.HK,175.79,176.27,169.82,174.44,15156176
2023-05-22,0005.HK,172.7,174.99,167.17,171.8,9326573
2023-05-23,0005.HK,172.11,171.79,170.5,171.42,70917980
2023-05-24,0005.HK,168.65,170.51,170.01,170.08,38052808
2023-05-25,0005.HK,169.66,174.25,169.83,170.1,98614105
2023-05-26,0005.HK,170.41,171.46,164.89,169.55,77937544
2023-05-29,0005.HK,170.77,172.74,170.09,170.57,12008550
2023-05-30,0005.HK,167.34,167.43,164.7,167.37,6574024
2023-05-31,0005.HK,168.85,170.74,168.35,170.14,74858443
2023-06-01,0005.HK,177.56,182.38,173.94,177.27,29285496
2023-06-02,0005.HK,181.81,181.69,180.28,180.48,2203292
2023-06-05,0005.HK,182.81,181.34,180.51,181.11,53242409
2023-06-06,0005.HK,185.35,183.94,181.08,183.54,96960951
2023-06-07,0005.HK,180.88,184.21,179.15,180.8,45999565
2023-06-08,0005.HK,176.99,179.63,176.01,176.54,5499191
2023-06-09,0005.HK,177.84,183.71,178.03,178.62,46110018
2023-06-12,0005.HK,177.64,178.69,172.9,177.22,46906142
2023-06-13,0005.HK,173.16,176.71,168.87,173.67,97465085
2023-06-14,0005.HK,173.08,175.0,169.03,171.41,31643234
2023-06-15,0005.HK,169.6,172.0,164.31,168.54,91181791
2023-06-16,0005.HK,170.0,173.73,167.52,168.91,61728104
2023-06-19,0005.HK,170.14,175.19,169.74,170.42,5476648
2023-06-20,0005.HK,171.09,174.68,171.74,172.73,98740336
