Ticker,Company,Sector,Market_Cap_B,PE_Trailing,PE_Forward,ROE,Debt_to_Equity,Dividend_Yield,Earnings_Growth,Revenue_Growth,Profit_Margin,Current_Price,Avg_Volume,Free_Float,Shares_Outstanding,Beta,Alpha_Annualized,R_Squared,Momentum_6M_Pct,Momentum_12M_Pct,Annualized_Vol_Pct,Return_Period_Pct
0005.HK,HSBC HOLDINGS,Financial Services,2236.72795136,13.81509,9.363158,11.625,,451.0,2397.9,58.4,35.248002,130.0,17662651,16935578090,17148192022,0.5176629776113931,29.917082271919636,0.2898965633500264,19.670957120580535,29.55005590857498,24.26699865909801,275.4343463721247
9988.HK,BABA-W,Consumer Cyclical,2263.267147776,21.545454,14.8352165,8.2329996,25.908,87.0,-70.89999999999999,1.7000000000000002,8.912,118.5,92280875,17577582880,19099302523,1.684013221782785,-0.46387159465893407,0.6775430979002387,-21.31474422481201,-1.496261850453473,51.63777582051318,-46.26973602415823
0700.HK,TENCENT,Communication Services,4420.811096064,17.827988,12.577492,20.027,32.746,108.0,14.899999999999999,12.7,29.909000000000002,489.2,28476961,6225660158,9036817714,1.2746334116127933,4.0137712554603,0.6869383555843365,-19.999998003756136,-12.172349693531192,38.81654785100057,-12.93486115075998
1299.HK,AIA,Financial Services,901.60463872,18.60691,12.879698,14.847,47.195,224.00000000000003,9.4,6.0,23.78,86.15,28848165,10457184628,10465520736,0.917624642114261,5.348626599347854,0.5160232811145467,4.996951031841856,21.655420863529873,32.241921279494555,2.881118827599183
0939.HK,CCB,Financial Services,2272.386613248,5.7094593,5.4642935,9.667,,514.0,0.3,2.4,55.782,8.45,241611786,102706925765,240417319880,0.5297685334280556,15.667403688519782,0.40030708996595904,5.314475508068028,2.938016804965393,21.13391768214581,94.6921499252694
1810.HK,XIAOMI-W,Technology,799.628394496,17.446327,15.717516,18.25,13.564,,-34.599999999999994,7.3,9.1070004,30.88,175569709,17369030357,21420304898,1.273032094582901,12.363166511440308,0.5324487378413019,-24.866179301173418,-47.16852222806772,44.034284643687286,17.41444888428805
1398.HK,ICBC,Financial Services,3256.27674624,6.105263,5.7412806,8.9779995,,499.0,3.8,-3.5000000000000004,55.139,6.96,207136666,210767968255,86794044550,0.5010147674160093,14.659002764480242,0.38075722020515423,9.951564952665514,16.03018178820552,20.493538249395005,86.46082984277108
0388.HK,HKEX,Financial Services,500.556333056,28.245363,26.118427,31.532,2.127,329.0,15.1,13.8,61.526,396.0,4937953,1185673224,1264031072,1.1399066548163221,5.120576000016958,0.7069642092210787,-2.3078783221091914,-9.039713208745981,34.21850794409897,-0.7540203173851401
0941.HK,CHINA MOBILE,Communication Services,1752.386895872,11.180168,10.019352,9.951,7.241,630.0,-22.0,2.5,13.053999999999998,80.05,26425800,6633206142,20708786592,0.36574670298265843,17.94910983412714,0.29386857363902674,-8.252145499417985,-5.396255383515092,17.029203716932052,125.16132555793197
2318.HK,PING AN,Financial Services,1195.939463168,7.1158395,5.6455646,11.637,139.674,503.0,-74.0,-11.0,14.102999999999998,60.2,42903840,14486656825,7447576912,1.311923910924531,4.169269453408689,0.6727051883255745,5.152839760592931,10.677502415032713,40.3726031141904,-14.915916956659014
3690.HK,MEITUAN-W,Consumer Cyclical,495.494234112,,15.926796,-14.434,57.368,,,4.1000000000000005,-6.401,80.25,55070128,5404875504,5595230334,1.796960664022672,-12.471158635231209,0.6123506027520165,-22.83653846153846,-40.29017585982258,57.96008171346892,-74.76415094339622
0883.HK,CNOOC,Energy,1330.899451904,9.253425,7.575577,15.714,8.669,540.0,-4.9,-9.3,30.657,27.02,154113978,17936378735,44539953984,0.546780137568055,38.95903590183684,0.20862871579980644,26.616683526532082,47.08351533275239,30.214553518918514,439.20910419045003
1211.HK,BYD COMPANY,Consumer Cyclical,1027.897622528,25.528255,16.07184,14.768,48.02,139.0,-40.5,-13.5,4.0570002,103.9,29460429,6018393092,3683400000,1.1921165955305337,21.88524498435482,0.4405334705950209,7.113403634926718,-21.347466521340476,45.3335544657654,81.06070043721651
3988.HK,BANK OF CHINA,Financial Services,2148.1324544,6.0238094,5.866058,8.3730005,,500.0,-7.199999999999999,6.3,43.464999999999996,5.06,211808280,105595451600,83622276395,0.4769585329844749,20.883295250103558,0.4217663437314897,9.811894831480018,9.811894831480018,18.536816724134777,156.91466033087153
0981.HK,SMIC,Technology,498.937331712,72.85715,39.12167,3.032,35.968,,63.7,27.500000000000004,7.487000000000001,51.0,62023833,4545733983,6001893667,1.0691412063228884,25.167171567429047,0.2802659221857273,-25.384051004317442,1.4925373134328401,50.973025800453584,87.4999947407668
2899.HK,ZIJIN MINING,Basic Materials,997.05225216,16.276497,10.93227,29.981002,65.915,154.0,76.4,29.5,14.832999999999998,35.32,77290595,20064895845,5988921482,1.0167273991479797,37.465581014172535,0.3245083495392657,15.048856081664841,57.948983895779115,45.04868134950011,286.77243571668765
9999.HK,NTES-S,Communication Services,563.28749056,14.66443,11.101157,22.625,3.867,266.0,-29.4,3.0,29.975,174.8,7166456,1708381708,3165991421,1.2695400996010988,12.666829729917225,0.45831047258492735,-18.47617961852719,-18.357026536815514,47.33223651316266,10.171445442707583
