Ticker,Company,Sector,ROE,PE_Trailing,PE_Forward,Debt_to_Equity,Dividend_Yield,Earnings_Growth,Momentum_6M_Pct,Beta,Alpha_Annualized,R_Squared,Annualized_Vol_Pct,Long_Score
2057.HK,ZTO EXPRESS-W,Industrials,14.229,14.925374,11.169128,17.096,284.0,790.7,18.030577819805416,0.9892490418962183,4.417434302034784,0.38529134067111104,40.225505238820865,19
2899.HK,ZIJIN MINING,Basic Materials,29.981002,16.276497,10.93227,65.915,154.0,76.4,15.048856081664841,1.0167273991479797,37.465581014172535,0.3245083495392657,45.04868134950011,19
0883.HK,CNOOC,Energy,15.714,9.253425,7.575577,8.669,540.0,-4.9,26.616683526532082,0.546780137568055,38.95903590183684,0.20862871579980644,30.214553518918514,18
1919.HK,COSCO SHIP HOLD,Industrials,12.394,6.728889,11.274445,27.014,1147.0,-64.60000000000001,13.749059849832479,0.694858943054131,33.53396289158907,0.15541585677014086,44.48765165169387,18
1299.HK,AIA,Financial Services,14.847,18.60691,12.879698,47.195,224.00000000000003,9.4,4.996951031841856,0.917624642114261,5.348626599347854,0.5160232811145467,32.241921279494555,18
0288.HK,WH GROUP,Consumer Defensive,15.65,11.072917,10.768077,32.198,574.0,-6.1,30.110159304464435,0.5538640254880833,19.965518772496072,0.23054794634831702,29.114747120186024,18
0175.HK,GEELY AUTO,Consumer Cyclical,17.877000000000002,12.875675,9.48685,24.681,210.0,0.8999999999999999,40.117645263671875,1.231678283892799,15.279620637270769,0.44480780509875983,46.61241218716408,18
1088.HK,CHINA SHENHUA,Energy,13.086999999999998,15.423841,14.050973,7.452,480.99999999999994,11.1,15.870649121969628,0.5320094360313949,37.682213734654304,0.19056112314978196,30.76044945654766,18
1378.HK,CHINAHONGQIAO,Basic Materials,18.556998999999998,13.535055,9.436361,51.18,450.0,-23.1,19.634704787096723,1.0163851510921946,44.437618369334714,0.2864220997466133,47.93420655833435,18
0857.HK,PETROCHINA,Energy,9.8050006,10.989797,9.494465,19.643,487.0,-0.8999999999999999,23.226553087035118,0.5397861012531496,40.42935573652429,0.19919973367954139,30.525853433921174,17
0669.HK,TECHTRONIC IND,Industrials,17.989999,20.448343,14.929414,25.278,252.0,0.1,16.55555725097657,0.8115615304885019,5.63718758766095,0.2341369349096747,42.332798722365496,17
9961.HK,TRIP.COM-S,Consumer Cyclical,21.125,7.2093024,10.4093,18.163,57.99999999999999,97.8,-27.05882238963294,1.4066011812822785,20.569345890769455,0.45250889143485157,52.899308967751544,17
