Ticker,Company,Sector,Short_Score,Short_Signals,ROE,PE_Trailing,PB_Ratio,Debt_to_Equity,Dividend_Yield,Earnings_Growth,Revenue_Growth,Momentum_6M_Pct,Momentum_12M_Pct,Momentum_24M_Pct,Beta,Alpha_Annualized,R_Squared,Annualized_Vol_Pct,Max_Drawdown_Pct
6060.HK,ZA ONLINE,Financial Services,14,ROE < 8%; Negative Earnings Growth; P/E > Sector Median; Negative 6M Momentum; Negative 12M Momentum; Negative Alpha; Beta > 1.2; R² 0.3–0.9; Max Drawdown > 30%; Low Profit Margin < 5%; ,4.7509998,15.962501,0.74139905,33.588,,-30.3,10.100000000000001,-17.39973851064571,-37.24815617501531,-4.129123495958198,1.6317493812987145,-11.332606238977688,0.4889904129136096,58.89708191489043,-81.10441768760248
2007.HK,COUNTRY GARDEN,Real Estate,14,ROE < 8%; Negative Revenue Growth; D/E > 150%; Negative 6M Momentum; Negative 12M Momentum; Severe 24M Decline (>20%); Negative Alpha; Beta > 1.2; Max Drawdown > 30%; Low Profit Margin < 5%; ,3.401,2.2142856,-8.521685,340.358,,,-45.4,-40.384612739438744,-37.99999952316284,-36.082475620472046,1.3599009813325282,-44.49454366153823,0.22065268919592865,73.07068326179046,-97.11019514188322
9888.HK,BIDU-SW,Communication Services,14,ROE < 8%; Negative Earnings Growth; Negative Revenue Growth; P/E > Sector Median; Negative 6M Momentum; Negative Alpha; Beta > 1.2; R² 0.3–0.9; Max Drawdown > 30%; Low Profit Margin < 5%; ,1.9040000000000001,64.76191,0.12227083,33.506,,-81.0,-4.1000000000000005,-3.4605093186253266,20.687743993576248,34.32099142192322,1.554328360076356,-1.9885506120070593,0.5741110345597119,51.77681331509327,-66.0794938823557
0960.HK,LONGFOR GROUP,Real Estate,14,ROE < 8%; Negative Revenue Growth; P/E > Sector Median; Negative 6M Momentum; Negative 12M Momentum; Severe 24M Decline (>20%); Negative Alpha; Beta > 1.2; R² 0.3–0.9; Max Drawdown > 30%; Low Profit Margin < 5%; ,0.434,44.82353,0.28049305,70.115,248.0,,-52.2,-21.163535450538053,-26.72695119555726,-29.96801903291757,1.6361583298157345,-14.420988959115915,0.41391504648271943,64.18894152763669,-81.95503594948323
2015.HK,LI AUTO-W,Consumer Cyclical,13,ROE < 8%; Negative Earnings Growth; Negative Revenue Growth; P/E > Sector Median; Negative 6M Momentum; Negative 12M Momentum; Beta > 1.2; R² 0.3–0.9; Max Drawdown > 30%; Low Profit Margin < 5%; ,1.577,117.70492,0.8789111,24.357,,-99.8,-35.0,-1.0337697704367321,-39.562288546005696,-16.317015736648244,1.6378557427609026,7.019994403943675,0.4158105559895252,65.14932636320351,-67.20759446643248
0101.HK,HANG LUNG PPT,Real Estate,12,ROE < 8%; Negative Earnings Growth; Negative Revenue Growth; P/E > Sector Median; Negative 6M Momentum; Negative Alpha; R² 0.3–0.9; Max Drawdown > 30%; ,1.6310000000000002,23.945944,0.33253264,37.704,587.0,-22.7,-2.9000000000000004,-1.1160756812943928,20.70783586983658,50.27107525601642,0.7862837950537321,-5.236436396978552,0.3585588861102797,33.14282881405659,-69.4266786743712
3690.HK,MEITUAN-W,Consumer Cyclical,12,ROE < 8%; Negative 6M Momentum; Negative 12M Momentum; Severe 24M Decline (>20%); Negative Alpha; Beta > 1.2; R² 0.3–0.9; Max Drawdown > 30%; Low Profit Margin < 5%; ,-14.434,,2.8401742,57.368,,,4.1000000000000005,-22.83653846153846,-40.29017585982258,-52.598937653021636,1.796960664022672,-12.471158635231209,0.6123506027520165,57.96008171346892,-81.04545477664831
1928.HK,SANDS CHINA LTD,Consumer Cyclical,12,Negative Earnings Growth; P/E > Sector Median; D/E > 150%; Negative 6M Momentum; Negative 12M Momentum; Negative Alpha; R² 0.3–0.9; Max Drawdown > 30%; ,73.68400000000001,19.678162,12.625853,506.567,584.0,-4.1000000000000005,12.0,-17.134554861200225,-7.221936189550737,-6.983590278958729,1.1731752873444021,-4.99460529222691,0.37306382996255605,48.47991250739753,-67.25415013449503
0267.HK,CITIC,Industrials,12,ROE < 8%; Negative Earnings Growth; Negative Revenue Growth; D/E > 150%; Negative 6M Momentum; Negative 12M Momentum; R² 0.3–0.9; Max Drawdown > 30%; ,7.933,5.2052402,0.38868937,206.074,551.0,-25.0,-3.6999999999999997,-3.0105767836251074,-1.6223734767103482,44.499465136903105,0.7698558391362413,21.061165335746214,0.4070343607350984,30.45680658077777,-32.805939271572896
9618.HK,JD-SW,Consumer Cyclical,12,ROE < 8%; P/E > Sector Median; Negative 6M Momentum; Negative 12M Momentum; Negative Alpha; Beta > 1.2; R² 0.3–0.9; Max Drawdown > 30%; Low Profit Margin < 5%; ,7.6240000000000006,15.26603,1.1956925,36.457,349.0,,1.5,-3.700512508858833,-16.05401428053209,-16.901790285271268,1.7757792394160261,-7.572648755397704,0.6603529102582009,55.155829421297284,-76.92180985142687
